task_name	datamodule_task_name	short_task_name	is_hidden	last_checkpoint_name	project_name	learning_type	scenario	task_type	embedding_name	languages	model_size	nr_of_params	nr_of_trainable_params	avg_inference_time	nr_of_datamodules	nr_of_tasks	nr_of_languages	nr_of_epochs	machine_name	batch_size	revision	revision_batch
IndonesianEmotion	indonesian_emotion	IndoEmo	1	apricot-oath-8	IndonesianEmotion_xlmr_singleExp_EarlyStopping	stl	stt, mtt	emotion_classification	xlmr	id	1060,695389	278052876	278052876	0,03264318605	1	1	1	10	carrot	32	0	0
CasaAbsaProsa	casa_absa-prosa	CasaProsa	0	decent-wood-12	CasaAbsaProsa_xlmr_singleExp_EarlyStopping	stl	stt, mtt	emotion_classification	xlmr	id	1060,71299	278057490	278057490	0,02038137563	1	1	1	10	carrot	32	0	0
NerpNerProsa	nerp_ner_prosa	NerpProsa	0	floral-cosmos-11	NerpNerProsa_xlmr_singleExp_EarlyStopping	stl	stt, mtt	sequence_labeling	xlmr	id	1060,692455	278052107	278052107	0,1162364864	1	1	1	10	worker4k	32	0	0
WreteEntailmentUI	wrete_entailment-ui	WreteUI	0	smooth-serenity-10	WreteEntailmentUI_xlmr_singleExp_EarlyStopping	stl	stt, mtt	sentence_pair_classification	xlmr	id	1060,666054	278045186	278045186	0,09510092449	1	1	1	10	worker4k	32	0	0
CONLL2003	Conll2003	CONLL2003	0	sweet-wave-2	Conll2003_xlmr_SingleExp_EarlyStopping	stl	stt, mtt	sequence_labeling	xlmr	en	1060,686588	278050569	278050569	0,03008331117	1	1	1	10	carrot	16	0	0
SNLI	SNLI	SNLI	0	dancing-tiger-1	SNLI_xlmr_SingleExp_EarlyStopping	stl	stt, mtt	sentence_pair_classification	xlmr	en	1060,668987	278045955	278045955	0,05353192342	1	1	1	10	worker4k	16	0	0
StudEmo	StudEmo	StudEmo	0	celestial-darkness-12	StudEmo_xlmr_SingleExp_EarlyStopping	stl	stt, mtt	emotion_classification	xlmr	en	1060,786327	278076715	278076715	0,127106944	1	1	1	10	worker4k	16	0	0
GoEmo	GoEmotions	GoEmo	0	floating-fish-2	GoEmotions_xlmr_SingleExp_EarlyStopping	stl	stt, mtt	emotion_classification	xlmr	en	1060,824463	278086712	278086712	0,0174935822	1	1	1	10	carrot	16	0	0
multitask_en	Conll2003, SNLI, StudEmo, GoEmotions	MTL-MIX-EN	0	bright-peony-2	MTL_en_xlmr_EarlyStopping	mtl	mtt	mix	xlmr	en	1060,985806	278129007	278129007	0,01734738325	4	3	1	10	carrot	16	0	0
multitask_indo	indonesian_emotion, casa_absa-prosa, nerp_ner_prosa, wrete_entailment-ui	MTL-MIX-ID	1	vermilion-mandu-36	MTL_Indo_xlmr_EarlyStopping	mtl	mtt	mix	xlmr	id	1060,803928	278081329	278081329	0,04146718	4	3	1	10	worker4k	16	0	0
multitask_mix_xlmr	indonesian_emotion, casa_absa-prosa, nerp_ner_prosa, wrete_entailment-ui, Conll2003, SNLI, StudEmo, GoEmotions	MTL-MIX	1	beaming-dog-7	MTL_mix_xlmr_EarlyStopping	mtl	mtt	mix	xlmr	id, en	1061,129547	278166688	278166688	0,01659656373	8	3	2	10	carrot	16	0	0
multitask_mix_ir	indonesian_emotion, casa_absa-prosa, nerp_ner_prosa, wrete_entailment-ui, Conll2003, SNLI, StudEmo, GoEmotions	MTL-MIX_IR	1	comic-river-7	MTL_mix_indo-roberta_EarlyStopping	mtl	mtt	mix	indo-roberta	id, en	475,9625549	124768672	124768672	0,04511086846	8	3	2	10	worker4k	12	0	0
multitask_mix_emocls	indonesian_emotion, casa_absa-prosa, Conll2003, SNLI, StudEmo, GoEmotions	MTL-MIX_EmoCls	1	dulcet-pine-5	MTL_mix2_xlmr_emocls_EarlyStopping	mtl	stt	emotion_classification	xlmr	id, en	1061,038609	278142849	278142849	0,01111269859	4	1	2	10	carrot	16	0	0
multitask_mix_sentencepair	wrete_entailment-ui, SNLI	MTL-MIX_StPair	0	charmed-dust-5	MTL_mix2_xlmr_sentencepair_EarlyStopping	mtl	stt	sentence_pair_classification	xlmr	id, en	1060,674854	278047493	278047493	0,02462592917	2	1	2	10	carrot	16	0	0
multitask_mix_sequencelabeling	nerp_ner_prosa, Conll2003	MTL-MIX_SeqLab	0	zesty-planet-5	MTL_mix2_xlmr_seqlab_EarlyStopping	mtl	stt	sequence_labeling	xlmr	id, en	1060,718857	278059028	278059028	0,04111855653	2	1	2	10	worker4k	16	0	0
multitask_mix_id_emocls	indonesian_emotion, casa_absa-prosa	MTL-MIX-ID_EmoCls	1	logical-sky-4	MTL_mix2_id_xlmr_emocls_EarlyStopping	mtl	stt	emotion_classification	xlmr	id	1060,756992	278069025	278069025	0,01491093917	2	1	1	10	carrot	16	0	0
multitask_mix_en_emocls	StudEmo, GoEmotions	MTL-MIX-EN_EmoCls	0	stoic-puddle-6	MTL_mix2_en_xlmr_emocls_EarlyStopping	mtl	stt	emotion_classification	xlmr	en	1060,950603	278119779	278119779	0,1889367624	2	1	1	10	carrot	16	0	0
SmsaDocSentimentProsa	smsa_doc_sentiment_prosa	SmsaProsa	1	lemon-bush-17	SmsaDocSentimentProsa_xlmr_singleExp_EarlyStopping	stl	stt, mtt	emotion_classification	xlmr	id	1060,668987	278045955	278045955	0,06710245526	1	1	1	10	worker4k	32	0	0
IndonesianEmotion	indonesian_emotion	IndoEmo	0	wise-bush-2	IndonesianEmotion_rev_xlmr_singleExp_EarlyStopping	stl	stt, mtt	emotion_classification	xlmr	id	1060,695389	278052876	278052876	0,07900649706	1	1	1	10	worker4k	32	1	1
multitask_indo	indonesian_emotion, casa_absa-prosa, nerp_ner_prosa, wrete_entailment-ui	MTL-MIX-ID	0	faithful-star-21	MTL_rev_Indo_xlmr_EarlyStopping	mtl	mtt	emotion_classification, sentence-pair_classification, sequence_labeling	xlmr	id	1060,786327	278076715	278076715	0,04049379294	4	3	1	10	worker4k	16	1	1
multitask_mix_xlmr	indonesian_emotion, casa_absa-prosa, nerp_ner_prosa, wrete_entailment-ui, Conll2003, SNLI, StudEmo, GoEmotions	MTL-MIX	0	woven-lake-3	MTL_rev_mix_xlmr_EarlyStopping	mtl	mtt	emotion_classification, sentence-pair_classification, sequence_labeling	xlmr	id, en	1061,111946	278162074	278162074	0,04200775057	8	3	2	10	worker4k	16	1	1
